dataset,mode,ppl,context_len,ttft_sec,tpot_sec,throughput_tok_per_sec
wikitext,baseline,63.7188541396,128,0.0591506000,0.0203549746,47.7072919115
wikitext,baseline,63.7188541396,512,0.1618370999,0.0235602857,38.8789474194
wikitext,baseline,63.7188541396,1024,0.2299792999,0.0253041667,35.0849917469
wikitext,kvpress_knorm_r0.5,63.7188541396,128,0.0612701999,0.0230573730,42.2753463320
wikitext,kvpress_knorm_r0.5,63.7188541396,512,0.1397835000,0.0234525873,39.5722120214
wikitext,kvpress_knorm_r0.5,63.7188541396,1024,0.2331219000,0.0222243429,39.1855407804
pg19,baseline,33.5738714137,128,0.0625148000,0.0209576111,46.2814215596
pg19,baseline,33.5738714137,512,0.1447924000,0.0244663984,37.9557169455
pg19,baseline,33.5738714137,1024,0.2491125000,0.0232576651,37.3320335566
pg19,kvpress_knorm_r0.5,33.5738714137,128,0.0613350000,0.0322454524,30.5810616745
pg19,kvpress_knorm_r0.5,33.5738714137,512,0.1355118999,0.0220088429,42.0480280477
pg19,kvpress_knorm_r0.5,33.5738714137,1024,0.2334859000,0.0231116016,37.8806532142
