dataset,mode,ppl,context_len,ttft_sec,tpot_sec,throughput_tok_per_sec,timestamp
wikitext,baseline,63.7188541396,128,0.0591506000,0.0203549746,47.7072919115,2026-04-13 14:38:05
wikitext,baseline,63.7188541396,512,0.1618370999,0.0235602857,38.8789474194,2026-04-13 14:38:05
wikitext,baseline,63.7188541396,1024,0.2299792999,0.0253041667,35.0849917469,2026-04-13 14:38:05
wikitext,gqa,2258.0125141649,128,0.0497404000,0.0208407079,46.9654107056,2026-04-13 14:38:53
wikitext,gqa,2258.0125141649,512,0.1186271000,0.0218670397,42.7735835135,2026-04-13 14:38:53
wikitext,gqa,2258.0125141649,1024,0.2869204001,0.0289595492,30.3120435439,2026-04-13 14:38:53
pg19,baseline,33.5738714137,128,0.0625148000,0.0209576111,46.2814215596,2026-04-13 14:39:37
pg19,baseline,33.5738714137,512,0.1447924000,0.0244663984,37.9557169455,2026-04-13 14:39:37
pg19,baseline,33.5738714137,1024,0.2491125000,0.0232576651,37.3320335566,2026-04-13 14:39:37
pg19,gqa,816.6922560583,128,0.0526138000,0.0221952936,44.1100261208,2026-04-13 14:40:23
pg19,gqa,816.6922560583,512,0.2379822000,0.0241986889,36.3120649772,2026-04-13 14:40:23
pg19,gqa,816.6922560583,1024,0.3172711000,0.0232819016,35.8738181051,2026-04-13 14:40:23
